TimeStamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1.253813,0.149414,0.9213866,-0.4694824,-0.7920265,38.80739,-37.21189
1.255262,0.149414,0.9213866,-0.4694824,-0.7920265,38.80739,-37.21189
1.256819,0.149414,0.9213866,-0.4694824,-0.7920265,38.80739,-37.21189
1.258238,0.149414,0.9213866,-0.4694824,-0.7920265,38.80739,-37.21189
1.259733,0.149414,0.9213866,-0.4694824,-0.7920265,38.80739,-37.21189
1.261278,0.149414,0.9213866,-0.4694824,-0.7920265,38.80739,-37.21189
1.263002,0.149414,0.9213866,-0.4694824,-0.7920265,38.80739,-37.21189
1.264524,0.1176758,0.8627928,-0.4729003,-3.462315,38.05971,-36.6168
1.26615,0.1147461,0.8720702,-0.5119628,0.6108284,39.96706,-37.54759
1.267767,0.137207,0.8837889,-0.5290527,3.021717,41.92019,-34.70945
1.269262,0.137207,0.8837889,-0.5290527,3.021717,41.92019,-34.70945
1.270861,0.137207,0.8837889,-0.5290527,3.021717,41.92019,-34.70945
1.272295,0.137207,0.8837889,-0.5290527,3.021717,41.92019,-34.70945
1.273741,0.137207,0.8837889,-0.5290527,3.021717,41.92019,-34.70945
1.275208,0.137207,0.8837889,-0.5290527,3.021717,41.92019,-34.70945
1.276979,0.137207,0.8837889,-0.5290527,3.021717,41.92019,-34.70945
1.278444,0.137207,0.8837889,-0.5290527,3.021717,41.92019,-34.70945
1.279972,0.1186523,0.8940428,-0.4987792,5.188465,41.55397,-28.07188
1.281599,0.1186523,0.8940428,-0.4987792,5.188465,41.55397,-28.07188
1.283056,0.1186523,0.8940428,-0.4987792,5.188465,41.55397,-28.07188
1.284584,0.1186523,0.8940428,-0.4987792,5.188465,41.55397,-28.07188
1.28635,0.1186523,0.8940428,-0.4987792,5.188465,41.55397,-28.07188
1.287809,0.1186523,0.8940428,-0.4987792,5.188465,41.55397,-28.07188
1.28936,0.1186523,0.8940428,-0.4987792,5.188465,41.55397,-28.07188
1.290802,0.1186523,0.8940428,-0.4987792,5.188465,41.55397,-28.07188
1.292274,0.1186523,0.8940428,-0.4987792,5.188465,41.55397,-28.07188
1.293802,0.1186523,0.8940428,-0.4987792,5.188465,41.55397,-28.07188
1.295593,0.1186523,0.8940428,-0.4987792,5.188465,41.55397,-28.07188
1.297262,0.1186523,0.8940428,-0.4987792,5.188465,41.55397,-28.07188
1.301092,0.1186523,0.8940428,-0.4987792,5.188465,41.55397,-28.07188
1.302584,0.1186523,0.8940428,-0.4987792,5.188465,41.55397,-28.07188
1.304052,0.1186523,0.8940428,-0.4987792,5.188465,41.55397,-28.07188
1.305431,0.1186523,0.8940428,-0.4987792,5.188465,41.55397,-28.07188
1.306808,0.1186523,0.8940428,-0.4987792,5.188465,41.55397,-28.07188
1.308273,0.1186523,0.8940428,-0.4987792,5.188465,41.55397,-28.07188
1.309978,0.1186523,0.8940428,-0.4987792,5.188465,41.55397,-28.07188
1.311672,0.1186523,0.8940428,-0.4987792,5.188465,41.55397,-28.07188
1.313272,0.1186523,0.8940428,-0.4987792,5.188465,41.55397,-28.07188
1.315125,0.1186523,0.8940428,-0.4987792,5.188465,41.55397,-28.07188
1.316961,0.1186523,0.8940428,-0.4987792,5.188465,41.55397,-28.07188
1.318445,0.1186523,0.8940428,-0.4987792,5.188465,41.55397,-28.07188
1.320246,0.1186523,0.8940428,-0.4987792,5.188465,41.55397,-28.07188
1.321707,0.1186523,0.8940428,-0.4987792,5.188465,41.55397,-28.07188
1.323177,0.1186523,0.8940428,-0.4987792,5.188465,41.55397,-28.07188
1.324604,0.1186523,0.8940428,-0.4987792,5.188465,41.55397,-28.07188
1.326075,0.08251952,0.845703,-0.4660644,2.777576,35.99977,-25.11168
1.327627,0.08496092,0.8349608,-0.4675292,-1.066685,32.41396,-28.5449
1.329344,0.1293945,0.8652343,-0.5485839,-3.981113,33.93984,-32.08494
1.33094,0.1293945,0.8652343,-0.5485839,-3.981113,33.93984,-32.08494
1.332872,0.1293945,0.8652343,-0.5485839,-3.981113,33.93984,-32.08494
1.338322,0.1293945,0.8652343,-0.5485839,-3.981113,33.93984,-32.08494
1.340197,0.1293945,0.8652343,-0.5485839,-3.981113,33.93984,-32.08494
1.341776,0.1699218,0.904785,-0.5490722,3.372669,36.64064,-26.79014
1.343325,0.1699218,0.904785,-0.5490722,3.372669,36.64064,-26.79014
1.344856,0.1699218,0.904785,-0.5490722,3.372669,36.64064,-26.79014
1.346334,0.1699218,0.904785,-0.5490722,3.372669,36.64064,-26.79014
1.347784,0.1699218,0.904785,-0.5490722,3.372669,36.64064,-26.79014
1.349272,0.1699218,0.904785,-0.5490722,3.372669,36.64064,-26.79014
1.35107,0.1699218,0.904785,-0.5490722,3.372669,36.64064,-26.79014
1.352812,0.1699218,0.904785,-0.5490722,3.372669,36.64064,-26.79014
1.354191,0.1699218,0.904785,-0.5490722,3.372669,36.64064,-26.79014
1.355654,0.1699218,0.904785,-0.5490722,3.372669,36.64064,-26.79014
1.357441,0.1699218,0.904785,-0.5490722,3.372669,36.64064,-26.79014
1.368124,0.1699218,0.904785,-0.5490722,3.372669,36.64064,-26.79014
1.369987,0.1699218,0.904785,-0.5490722,3.372669,36.64064,-26.79014
1.371529,0.1699218,0.904785,-0.5490722,3.372669,36.64064,-26.79014
1.373058,0.1699218,0.904785,-0.5490722,3.372669,36.64064,-26.79014
1.374731,0.1699218,0.904785,-0.5490722,3.372669,36.64064,-26.79014
1.376858,0.1699218,0.904785,-0.5490722,3.372669,36.64064,-26.79014
1.379086,0.1699218,0.904785,-0.5490722,3.372669,36.64064,-26.79014
1.380873,0.1699218,0.904785,-0.5490722,3.372669,36.64064,-26.79014
1.382841,0.1699218,0.904785,-0.5490722,3.372669,36.64064,-26.79014
1.384501,0.1699218,0.904785,-0.5490722,3.372669,36.64064,-26.79014
1.386463,0.1699218,0.904785,-0.5490722,3.372669,36.64064,-26.79014
1.388298,0.1455078,0.8979491,-0.5163574,7.248402,32.99379,-17.03978
1.390352,0.1088867,0.8232421,-0.5119628,5.814075,28.3246,-13.2556
1.392277,0.1088867,0.8232421,-0.5119628,5.814075,28.3246,-13.2556
1.394115,0.1088867,0.8232421,-0.5119628,5.814075,28.3246,-13.2556
1.396017,0.1088867,0.8232421,-0.5119628,5.814075,28.3246,-13.2556
1.39777,0.1088867,0.8232421,-0.5119628,5.814075,28.3246,-13.2556
1.399603,0.1088867,0.8232421,-0.5119628,5.814075,28.3246,-13.2556
1.401293,0.1088867,0.8232421,-0.5119628,5.814075,28.3246,-13.2556
1.403379,0.1088867,0.8232421,-0.5119628,5.814075,28.3246,-13.2556
1.405159,0.1201172,0.8461913,-0.5109863,2.518177,26.9208,-13.78965
1.406773,0.1201172,0.8461913,-0.5109863,2.518177,26.9208,-13.78965
1.408344,0.1201172,0.8461913,-0.5109863,2.518177,26.9208,-13.78965
